X_Freq_Hz;Y_Ampl_dBc_Hz
7079.456055;-136.899094
7161.43457;-136.848434
7244.35791;-136.633179
7328.245605;-135.797348
7413.100586;-135.373779
7498.941895;-135.485001
7585.777832;-135.59111
7673.614746;-135.64119
7762.473145;-135.711029
7852.355957;-135.824326
7943.28418;-135.89888
8035.260742;-136.464615
8128.306641;-136.557816
8222.425781;-136.467133
8317.639648;-136.409943
8413.950195;-136.478699
8511.381836;-136.593521
8609.936523;-136.655685
8709.636719;-136.618484
8810.487305;-136.546082
8912.510742;-136.5177
9015.709961;-136.499023
9120.109375;-136.362366
9225.712891;-136.140808
9332.543945;-136.04866
9440.606445;-136.262741
9549.926758;-136.483932
9660.506836;-136.498764
9772.37207;-136.333893
9885.52832;-136.143433
10000.0;-136.037476
10115.796875;-135.998047
10232.935547;-135.966141
10351.418945;-135.94136
10471.285156;-135.925293
10592.540039;-135.911087
10715.198242;-135.893936
10839.265625;-135.863556
10964.78125;-135.81723
11091.75;-135.707489
11220.189453;-135.551651
11350.103516;-135.288666
11481.535156;-134.923752
11614.487305;-134.503098
11748.980469;-134.045288
11885.016602;-133.668045
12022.642578;-133.373978
12161.861328;-133.295059
12302.692383;-133.392731
12445.139648;-133.613281
12589.250977;-133.95607
12735.03125;-134.301895
12882.499023;-134.600143
13031.661133;-134.828445
13182.563477;-134.94577
13335.213867;-135.007584
13489.632813;-135.032074
13645.838867;-135.030045
13803.838867;-135.008575
13963.682617;-134.979263
14125.378906;-134.945099
14288.946289;-134.904449
14454.392578;-134.852295
14621.770508;-134.769226
14791.086914;-134.646881
14962.363281;-134.496552
15135.606445;-134.340836
15310.873047;-134.210297
15488.167969;-134.134491
15667.516602;-134.127304
15848.924805;-134.174377
16032.451172;-134.222702
16218.102539;-134.235535
16405.904297;-134.198395
16595.861328;-134.119064
16788.037109;-134.017456
16982.4375;-133.9133
17179.089844;-133.819199
17378.0;-133.737885
17579.232422;-133.65889
17782.794922;-133.608398
17988.714844;-133.476013
18197.017578;-133.244049
18407.714844;-132.875778
18620.871094;-132.204803
18836.494141;-131.816406
19054.617188;-131.926514
19275.242188;-132.273743
19498.443359;-132.683334
19724.230469;-132.980484
19952.632813;-133.110687
20183.65625;-133.130569
20417.376953;-133.11142
20653.804688;-133.079849
20892.96875;-133.051331
21134.880859;-133.026566
21379.617188;-132.999496
21627.1875;-132.982071
21877.623047;-132.995361
22130.935547;-133.009094
22387.207031;-132.932404
22646.443359;-132.672302
22908.683594;-131.743027
23173.933594;-130.644531
23442.28125;-130.195084
23713.736328;-130.368195
23988.335938;-131.160339
24266.113281;-131.663361
24547.082031;-131.853302
24831.330078;-131.67749
25118.869141;-131.471939
25409.740234;-131.325958
25703.949219;-131.255768
26001.59375;-131.299286
26302.683594;-131.418777
26607.261719;-131.466904
26915.337891;-131.377258
27227.009766;-131.238022
27542.291016;-131.102646
27861.222656;-130.938141
28183.816406;-130.678146
28510.177734;-130.412338
28840.318359;-130.294662
29174.28125;-130.351685
29512.078125;-130.415466
29853.820313;-130.044266
30199.517578;-123.085304
30549.220703;-122.421059
30902.9375;-122.254776
31260.785156;-122.191757
31622.777344;-122.596352
31988.958984;-123.154716
32359.382813;-124.050667
32734.058594;-125.04393
33113.109375;-126.140984
33496.550781;-127.017387
33884.433594;-127.796104
34276.765625;-128.052689
34673.683594;-128.206879
35075.195313;-128.116867
35481.355469;-127.94976
35892.179688;-127.714798
36307.800781;-127.334831
36728.234375;-126.900269
37153.539063;-126.364761
37583.722656;-125.86306
38018.933594;-125.402115
38459.179688;-125.164848
38904.527344;-125.093697
39354.988281;-125.162003
39810.707031;-125.385506
40271.707031;-125.568542
40738.039063;-125.701012
41209.730469;-125.666306
41686.925781;-125.572273
42169.648438;-125.46553
42657.964844;-125.408714
43151.929688;-125.487518
43651.570313;-125.661285
44157.042969;-125.917564
44668.367188;-126.217819
45185.617188;-126.476669
45708.804688;-126.698135
46238.097656;-126.894768
46773.523438;-127.097099
47315.148438;-127.323433
47862.992188;-127.534485
48417.230469;-127.713539
48977.886719;-127.860825
49545.039063;-127.998917
50118.703125;-128.171875
50699.0625;-128.38501
51286.144531;-128.608795
51880.023438;-128.806244
52480.71875;-128.935516
53088.433594;-128.973099
53703.183594;-128.951416
54325.050781;-128.988113
54954.058594;-129.232407
55590.410156;-129.744766
56234.132813;-130.39447
56885.308594;-130.979614
57544.023438;-131.404709
58210.304688;-131.691483
58884.363281;-131.823441
59566.226563;-131.523727
60255.988281;-130.544815
60953.667969;-129.25824
61659.496094;-128.332825
62373.496094;-128.180939
63095.761719;-128.89444
63826.324219;-130.286865
64565.414063;-131.856216
65313.0625;-132.986237
66069.367188;-133.522034
66834.359375;-133.791962
67608.289063;-133.886597
68391.171875;-133.876221
69183.125;-133.831757
69984.164063;-133.78508
70794.5625;-133.761368
71614.34375;-133.762955
72443.617188;-133.756699
73282.414063;-133.747528
74131.007813;-133.777878
74989.421875;-133.964676
75857.78125;-134.198654
76736.1875;-134.254898
77624.6875;-134.118423
78523.5625;-133.878998
79432.84375;-133.751297
80352.648438;-133.780045
81283.023438;-134.043488
82224.257813;-134.251053
83176.390625;-134.241028
84139.554688;-133.690781
85113.773438;-132.949112
86099.367188;-132.879425
87096.367188;-133.75412
88104.921875;-134.709473
89125.054688;-135.05719
90157.101563;-135.100754
91201.09375;-134.773346
92257.171875;-134.083313
93325.382813;-133.676407
94406.070313;-134.326523
95499.265625;-135.18309
96605.117188;-135.61586
97723.671875;-135.774826
98855.28125;-135.770828
100000.0;-135.598267
101157.96875;-135.689072
102329.351563;-135.745941
103514.1875;-135.770782
104712.851563;-135.745819
105925.398438;-135.689682
107151.984375;-135.482498
108392.65625;-135.21843
109647.8125;-134.885529
110917.5;-134.902206
112201.898438;-134.98465
113501.039063;-135.04718
114815.34375;-135.11557
116144.875;-135.185089
117489.804688;-135.243393
118850.171875;-135.299438
120226.421875;-135.355713
121618.609375;-135.422195
123026.921875;-135.509674
124451.398438;-135.605347
125892.515625;-135.695496
127350.3125;-135.790604
128824.992188;-135.888382
130316.609375;-135.988281
131825.640625;-136.088165
133352.140625;-136.283264
134896.328125;-136.506805
136458.390625;-136.707474
138038.390625;-136.795288
139636.828125;-136.854813
141253.78125;-136.898621
142889.46875;-136.931046
144543.921875;-136.9534
146217.703125;-136.962524
147910.859375;-136.957062
149623.625;-136.937836
151356.0625;-136.910294
153108.71875;-136.885971
154881.6875;-136.882477
156675.171875;-136.920013
158489.25;-137.022919
160324.515625;-137.186447
162181.03125;-137.394806
164059.03125;-137.61908
165958.609375;-137.828827
167880.359375;-138.009109
169824.375;-138.166641
171790.890625;-138.31662
173779.984375;-138.462723
175792.3125;-138.593475
177827.9375;-138.662521
179887.140625;-138.752853
181970.1875;-138.836975
184077.140625;-138.940231
186208.703125;-139.170914
188364.953125;-139.464432
190546.15625;-139.655396
192752.421875;-139.815002
194984.4375;-139.947571
197242.3125;-140.07045
199526.3125;-140.196289
201836.5625;-140.326263
204173.765625;-140.452133
206538.046875;-140.614716
208929.703125;-140.777786
211348.8125;-140.922913
213796.171875;-141.101334
216271.875;-141.288696
218776.234375;-141.535309
221309.359375;-141.760925
223872.0625;-141.918228
